id,pid,code,description,section
397103,352903,0306952029,Other,
353103,262703,,Other,
397203,353103,0306952091,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg",
397303,353103,0306952099,Other,
150003,48603,,Other shrimps and prawns,
262803,150003,0306953000,"Shrimps of the family Pandalidae, other than of the genus Pandalus",
353203,262803,0306953010,Boiled on board,
353403,262803,,For processing,
397403,353403,0306953021,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg",
397503,353403,0306953029,Other,
353603,262803,,Other,
397603,353603,0306953091,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg",
397703,353603,0306953099,Other,
281303,150003,0306954000,"Shrimps of the genus Crangon, other than of the species Crangon crangon",
353703,281303,0306954010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg",
353803,281303,0306954090,Other,
281403,150003,0306959000,Other,
353903,281403,0306959010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg",
354003,281403,0306959090,Other,
48703,6903,0306990000,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",
150103,48703,0306991000,Freshwater crayfish,
150203,48703,0306999000,Other,
263303,150203,0306999020,Peurullus spp.,
263403,150203,0306999090,Other,
1003,303,0307000000,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process; flours, meals and pellets of molluscs, fit for human consumption",
7103,1003,,Oysters,
49003,7103,0307110000,"Live, fresh or chilled",
168103,49003,0307111000,"Flat oysters (of the genus Ostrea), live and weighing (shell included) not more than 40 g each",
263503,168103,0307111010,Intended for human consumption,
263603,168103,0307111090,Other,
168203,49003,0307119000,Other,
263703,168203,0307119010,Intended for human consumption,
263803,168203,0307119090,Other,
49103,7103,0307120000,Frozen,
62203,7103,0307190000,Other,
150703,62203,0307190010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
150803,62203,0307190090,Other,
7203,1003,,"Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten",
62303,7203,0307210000,"Live, fresh or chilled",
151203,62303,,Coquilles St Jacques (Pecten maximus),
263903,151203,0307210011,Intended for human consumption,
264003,151203,0307210019,Other,
151503,62303,,Other,
264103,151503,0307210091,Intended for human consumption,
264203,151503,0307210099,Other,
49703,7203,0307220000,Frozen,
151603,49703,0307221000,Coquilles St Jacques (Pecten maximus),
151703,49703,0307229000,Other,
62503,7203,0307290000,Other,
151803,62503,0307290010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
151903,62503,0307290090,Other,
7303,1003,,"Mussels (Mytilus spp., Perna spp.)",
50103,7303,0307310000,"Live, fresh or chilled",
168403,50103,0307311000,Mytilus spp.,
264803,168403,0307311010,Intended for human consumption,
264903,168403,0307311090,Other,
168503,50103,0307319000,Perna spp.,
265003,168503,0307319010,Intended for human consumption,
265103,168503,0307319090,Other,
50203,7303,0307320000,Frozen,
152903,50203,0307321000,Mytilus spp.,
153003,50203,0307329000,Perna spp.,
50303,7303,0307390000,Other,
168603,50303,0307392000,Mytilus spp.,
265303,168603,0307392010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
265403,168603,0307392090,Other,
168703,50303,0307398000,Perna spp.,
265503,168703,0307398010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
265603,168703,0307398090,Other,
7503,1003,,Cuttle fish and squid,
50503,7503,0307420000,"Live, fresh or chilled",
154203,50503,0307421000,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.)",
154303,50503,0307422000,Loligo spp.,
154403,50503,0307423000,"Squid (Ommastrephes spp., Nototodarus spp., Sepioteuthis spp.)",
154503,50503,0307424000,European flying squid (Todarodes sagittatus),
154603,50503,0307429000,Other,
50603,7503,0307430000,Frozen,
154703,50603,,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.)",
266103,154703,,Sepiola spp.,
354303,266103,0307432100,Lesser cuttle fish (Sepiola rondeleti),
354403,266103,0307432500,Other,
266203,154703,0307432900,"Sepia officinalis, Rossia macrosoma",
154803,50603,,Loligo spp.,
266303,154803,0307433100,Loligo vulgaris,
266403,154803,0307433300,Loligo pealei,
266503,154803,0307433500,Loligo gahi,
266603,154803,0307433800,Other,
154903,50603,0307439100,"Ommastrephes spp., other than Ommastrephes sagittatus, Nototodarus spp., Sepioteuthis spp.",
266703,154903,0307439110,"Pod (body of cephalopod or the squid headless and without tentacles), with skin and fins, for processing",
266803,154903,0307439120,"Whole or tentacles and fins, for processing",
266903,154903,0307439190,Other,
155003,50603,0307439200,Illex spp.,
267003,155003,0307439210,"Pod (body of cephalopod or the squid headless and without tentacles), with skin and fins, for processing",
267103,155003,0307439220,"Whole or tentacles and fins, for processing",
267203,155003,0307439290,Other,
155103,50603,0307439500,European flying squid (Todarodes sagittatus) (Ommastrephes sagittatus),
155203,50603,0307439900,Other,
267303,155203,,Todarodes pacificus,
354503,267303,0307439921,"Pod (body of cephalopod or the squid headless and without tentacles), with skin and fins, for processing",
354603,267303,0307439929,"Whole or tentacles and fins, for processing",
354703,267303,0307439931,Other,
267403,155203,0307439990,Other,
50703,7503,0307490000,Other,
168803,50703,0307492000,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.)",
267803,168803,0307492010,"Smoked, whether or not cooked before or during the smoking process, not otherwise prepared",
267903,168803,0307492090,Other,
168903,50703,0307494000,Loligo spp.,
268103,168903,0307494010,"Smoked, whether or not cooked before or during the smoking process, not otherwise prepared",
268203,168903,0307494090,Other,
169003,50703,0307495000,"Ommastrephes spp., other than Ommastrephes sagittatus, Nototodarus spp., Sepioteuthis spp.",
268303,169003,0307495010,"Smoked, whether or not cooked before or during the smoking process, not otherwise prepared",
268403,169003,0307495090,Other,
169103,50703,0307496000,European flying squid (Todarodes sagittatus) (Ommastrephes sagittatus),
268503,169103,0307496010,"Smoked, whether or not cooked before or during the smoking process, not otherwise prepared",
268603,169103,0307496090,Other,
169203,50703,0307498000,Other,
268803,169203,0307498010,"Smoked, whether or not cooked before or during the smoking process, not otherwise prepared",
268903,169203,0307498090,Other,
7603,1003,,Octopus (Octopus spp.),
50803,7603,0307510000,"Live, fresh or chilled",
50903,7603,0307520000,Frozen,
62703,7603,0307590000,Other,
156803,62703,0307590010,"Smoked, whether or not cooked before or during the smoking process, not otherwise prepared",
156903,62703,0307590090,Other,
8803,1003,0307600000,"Snails, other than sea snails",
8003,1003,,"Clams, cockles and ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",
62803,8003,0307710000,"Live, fresh or chilled",
157403,62803,0307710010,Intended for human consumption,
157503,62803,0307710090,Other,
51703,8003,0307720000,Frozen,
157603,51703,0307721000,Striped venus or other species of the family Veneridae,
157703,51703,0307729000,Other,
63003,8003,0307790000,Other,
157803,63003,0307790010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
157903,63003,0307790090,Other,
8103,1003,,Abalone (Haliotis spp.) and stromboid conchs (Strombus spp.),
63103,8103,0307810000,"Live, fresh or chilled abalone (Haliotis spp.)",
158403,63103,0307810010,Intended for human consumption,
158503,63103,0307810090,Other,
52303,8103,0307820000,"Live, fresh or chilled stromboid conchs (Strombus spp.)",
52403,8103,0307830000,Frozen abalone (Haliotis spp.),
52503,8103,0307840000,Frozen stromboid conchs (Strombus spp.),
63203,8103,0307870000,Other abalone (Haliotis spp.),
158603,63203,0307870010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
158703,63203,0307870090,Other,
63303,8103,0307880000,Other stromboid conchs (Strombus spp.),
158803,63303,0307880010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
158903,63303,0307880090,Other,
8203,1003,,"Other, including flours, meals and pellets, fit for human consumption",
63403,8203,0307910000,"Live, fresh or chilled",
159403,63403,0307910010,Common whelk (Buccinum undatum),
159603,63403,0307910090,Other,
53303,8203,0307920000,Frozen,
159903,53303,0307920010,Common whelk (Buccinum undatum),
160003,53303,0307920090,Other,
63603,8203,0307990000,Other,
160103,63603,0307990010,"Smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared",
160203,63603,0307990090,Other,
1103,303,0308000000,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",
8303,1103,,"Sea cucumbers (Stichopus japonicus, Holothuroidea)",
53703,8303,0308110000,"Live, fresh or chilled",
53803,8303,0308120000,Frozen,
53903,8303,0308190000,Other,
8403,1103,,"Sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",
54103,8403,0308210000,"Live, fresh or chilled",
54203,8403,0308220000,Frozen,
54303,8403,0308290000,Other,
8503,1103,0308300000,Jellyfish (Rhopilema spp.),
54703,8503,0308305000,Frozen,
54803,8503,0308308000,Other,
8603,1103,0308900000,Other,
55003,8603,0308901000,"Live, fresh or chilled",
55203,8603,0308905000,Frozen,
55303,8603,0308909000,Other,
304,-1,0400000000,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",
404,304,0401000000,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter",
1604,404,0401100000,"Of a fat content, by weight, not exceeding 1 %",
5204,1604,0401101000,In immediate packings of a net content not exceeding two litres,
5304,1604,0401109000,Other,
1704,404,0401200000,"Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",
5404,1704,,Not exceeding 3 %,
14204,5404,0401201100,In immediate packings of a net content not exceeding two litres,
14304,5404,0401201900,Other,
5504,1704,,Exceeding 3 %,
14404,5504,0401209100,In immediate packings of a net content not exceeding two litres,
14504,5504,0401209900,Other,
1904,404,0401400000,"Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",
5904,1904,0401401000,In immediate packings of a net content not exceeding two litres,
15804,5904,0401401010,Cream,
15904,5904,0401401090,Milk,
6004,1904,0401409000,Other,
16004,6004,0401409010,Cream,
16104,6004,0401409090,Milk,
2004,404,0401500000,"Of a fat content, by weight, exceeding 10 %",
6104,2004,,Not exceeding 21 %,
16204,6104,0401501100,In immediate packings of a net content not exceeding two litres,
37804,16204,0401501110,Cream,
37904,16204,0401501190,Milk,
16304,6104,0401501900,Other,
38004,16304,0401501910,Cream,
38104,16304,0401501990,Milk,
6204,2004,,Exceeding 21 % but not exceeding 45 %,
16404,6204,0401503100,In immediate packings of a net content not exceeding two litres,
38204,16404,0401503110,Cream,
38304,16404,0401503190,Milk,
16504,6204,0401503900,Other,
38404,16504,0401503910,Cream,
38504,16504,0401503990,Milk,
6304,2004,,Exceeding 45 %,
16604,6304,0401509100,In immediate packings of a net content not exceeding two litres,
38604,16604,0401509110,Cream,
38704,16604,0401509190,Milk,
16704,6304,0401509900,Other,
38804,16704,0401509910,Cream,
38904,16704,0401509990,Milk,
504,304,0402000000,"Milk and cream, concentrated or containing added sugar or other sweetening matter",
2104,504,0402100000,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1,5 %",
6404,2104,,Not containing added sugar or other sweetening matter,
16804,6404,0402101100,"In immediate packings of a net content not exceeding 2,5 kg",
16904,6404,0402101900,Other,
6504,2104,,Other,
17004,6504,0402109100,"In immediate packings of a net content not exceeding 2,5 kg",
17104,6504,0402109900,Other,
2204,504,,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1,5 %",
6604,2204,0402210000,Not containing added sugar or other sweetening matter,
17204,6604,,"Of a fat content, by weight, not exceeding 27 %",
39004,17204,0402211100,"In immediate packings of a net content not exceeding 2,5 kg",
39204,17204,0402211800,Other,
17304,6604,,"Of a fat content, by weight, exceeding 27 %",
39304,17304,0402219100,"In immediate packings of a net content not exceeding 2,5 kg",
39404,17304,0402219900,Other,
6704,2204,0402290000,Other,
17404,6704,,"Of a fat content, by weight, not exceeding 27 %",
39504,17404,0402291100,"Special milk, for infants, in hermetically sealed containers of a net content not exceeding 500 g, of a fat content, by weight, exceeding 10 %",
39604,17404,,Other,
67604,39604,0402291500,"In immediate packings of a net content not exceeding 2,5 kg",
67704,39604,0402291900,Other,
17504,6704,,"Of a fat content, by weight, exceeding 27 %",
39704,17504,0402299100,"In immediate packings of a net content not exceeding 2,5 kg",
39804,17504,0402299900,Other,
2304,504,,Other,
6804,2304,0402910000,Not containing added sugar or other sweetening matter,
17604,6804,0402911000,"Of a fat content, by weight, not exceeding 8 %",
17804,6804,0402913000,"Of a fat content, by weight, exceeding 8 % but not exceeding 10 %",
18004,6804,,"Of a fat content, by weight, exceeding 10 % but not exceeding 45 %",
40304,18004,0402915100,"In immediate packings of a net content not exceeding 2,5 kg",
40404,18004,0402915900,Other,
18104,6804,,"Of a fat content, by weight, exceeding 45 %",
40504,18104,0402919100,"In immediate packings of a net content not exceeding 2,5 kg",
40604,18104,0402919900,Other,
6904,2304,0402990000,Other,
18204,6904,0402991000,"Of a fat content, by weight, not exceeding 9,5 %",
18404,6904,,"Of a fat content, by weight, exceeding 9,5 % but not exceeding 45 %",
40904,18404,0402993100,"In immediate packings of a net content not exceeding 2,5 kg",
41004,18404,0402993900,Other,
18504,6904,,"Of a fat content, by weight, exceeding 45 %",
41104,18504,0402999100,"In immediate packings of a net content not exceeding 2,5 kg",
41204,18504,0402999900,Other,
604,304,0403000000,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",
2404,604,0403100000,Yogurt,
7204,2404,,"Not flavoured nor containing added fruit, nuts or cocoa",
18804,7204,,"Not containing added sugar or other sweetening matter, of a fat content, by weight",
41604,18804,0403101100,Not exceeding 3 %,
42004,18804,0403101300,Exceeding 3 % but not exceeding 6 %,
42304,18804,0403101900,Exceeding 6 %,
19104,7204,,"Other, of a fat content, by weight",
42704,19104,0403103100,Not exceeding 3 %,
43104,19104,0403103300,Exceeding 3 % but not exceeding 6 %,
43404,19104,0403103900,Exceeding 6 %,
7304,2404,,"Flavoured or containing added fruit, nuts or cocoa",
19204,7304,,"In powder, granules or other solid forms, of a milkfat content, by weight",
62904,19204,0403105100,"Not exceeding 1,5 %",
63104,19204,0403105300,"Exceeding 1,5 % but not exceeding 27 %",
63304,19204,0403105900,Exceeding 27 %,
19304,7304,,"Other, of a milkfat content, by weight",
63504,19304,0403109100,Not exceeding 3 %,
63704,19304,0403109300,Exceeding 3 % but not exceeding 6 %,
63904,19304,0403109900,Exceeding 6 %,
2504,604,0403900000,Other,
7404,2504,,"Not flavoured nor containing added fruit, nuts or cocoa",
19404,7404,,"In powder, granules or other solid forms",
45304,19404,,"Not containing added sugar or other sweetening matter, of a fat content, by weight",
71604,45304,0403901100,"Not exceeding 1,5 %",
71704,45304,0403901300,"Exceeding 1,5 % but not exceeding 27 %",
71804,45304,0403901900,Exceeding 27 %,
45404,19404,,"Other, of a fat content, by weight",
71904,45404,0403903100,"Not exceeding 1,5 %",
72004,45404,0403903300,"Exceeding 1,5 % but not exceeding 27 %",
72104,45404,0403903900,Exceeding 27 %,
19504,7404,,Other,
45504,19504,,"Not containing added sugar or other sweetening matter, of a fat content, by weight",
87704,45504,0403905100,Not exceeding 3 %,
87904,45504,0403905300,Exceeding 3 % but not exceeding 6 %,
88104,45504,0403905900,Exceeding 6 %,
45604,19504,,"Other, of a fat content, by weight",
73104,45604,0403906100,Not exceeding 3 %,
73204,45604,0403906300,Exceeding 3 % but not exceeding 6 %,
73304,45604,0403906900,Exceeding 6 %,
7504,2504,,"Flavoured or containing added fruit, nuts or cocoa",
19604,7504,,"In powder, granules or other solid forms, of a milkfat content, by weight",
64104,19604,0403907100,"Not exceeding 1,5 %",
64304,19604,0403907300,"Exceeding 1,5 % but not exceeding 27 %",
64504,19604,0403907900,Exceeding 27 %,
19704,7504,,"Other, of a milkfat content, by weight",
64704,19704,0403909100,Not exceeding 3 %,
64904,19704,0403909300,Exceeding 3 % but not exceeding 6 %,
65104,19704,0403909900,Exceeding 6 %,
704,304,0404000000,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",
2604,704,0404100000,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",
7604,2604,,"In powder, granules or other solid forms",
19804,7604,,"Not containing added sugar or other sweetening matter, of a protein content (nitrogen content × 6,38), by weight",
47504,19804,,"Not exceeding 15 %, and of a fat content, by weight",
74604,47504,0404100200,"Not exceeding 1,5 %",
74704,47504,0404100400,"Exceeding 1,5 % but not exceeding 27 %",
74804,47504,0404100600,Exceeding 27 %,
47704,19804,,"Exceeding 15 %, and of a fat content, by weight",
75104,47704,0404101200,"Not exceeding 1,5 %",
75204,47704,0404101400,"Exceeding 1,5 % but not exceeding 27 %",
75304,47704,0404101600,Exceeding 27 %,
20304,7604,,"Other, of a protein content (nitrogen content × 6,38), by weight",
47904,20304,,"Not exceeding 15 %, and of a fat content, by weight",
75604,47904,0404102600,"Not exceeding 1,5 %",
75704,47904,0404102800,"Exceeding 1,5 % but not exceeding 27 %",
75804,47904,0404103200,Exceeding 27 %,
48004,20304,,"Exceeding 15 %, and of a fat content, by weight",
75904,48004,0404103400,"Not exceeding 1,5 %",
76004,48004,0404103600,"Exceeding 1,5 % but not exceeding 27 %",
76104,48004,0404103800,Exceeding 27 %,
7804,2604,,Other,
20404,7804,,"Not containing added sugar or other sweetening matter, of a protein content (nitrogen content × 6,38), by weight",
48104,20404,,"Not exceeding 15 %, and of a fat content, by weight",
76204,48104,0404104800,"Not exceeding 1,5 %",
76304,48104,0404105200,"Exceeding 1,5 % but not exceeding 27 %",
76404,48104,0404105400,Exceeding 27 %,
48204,20404,,"Exceeding 15 %, and of a fat content, by weight",
76504,48204,0404105600,"Not exceeding 1,5 %",
76604,48204,0404105800,"Exceeding 1,5 % but not exceeding 27 %",
76704,48204,0404106200,Exceeding 27 %,
20504,7804,,"Other, of a protein content (nitrogen content × 6,38), by weight",
48304,20504,,"Not exceeding 15 %, and of a fat content, by weight",
76804,48304,0404107200,"Not exceeding 1,5 %",
76904,48304,0404107400,"Exceeding 1,5 % but not exceeding 27 %",
77004,48304,0404107600,Exceeding 27 %,
48404,20504,,"Exceeding 15 %, and of a fat content, by weight",
77104,48404,0404107800,"Not exceeding 1,5 %",
77204,48404,0404108200,"Exceeding 1,5 % but not exceeding 27 %",
77304,48404,0404108400,Exceeding 27 %,
2704,704,0404900000,Other,
8104,2704,,"Not containing added sugar or other sweetening matter, of a fat content, by weight",
21104,8104,0404902100,"Not exceeding 1,5 %",
21204,8104,0404902300,"Exceeding 1,5 % but not exceeding 27 %",
21304,8104,0404902900,Exceeding 27 %,
8304,2704,,"Other, of a fat content, by weight",
21604,8304,0404908100,"Not exceeding 1,5 %",
21704,8304,0404908300,"Exceeding 1,5 % but not exceeding 27 %",
49704,21704,0404908310,"Special milk, for infants, in hermetically sealed containers of a net content not exceeding 500 g of a fat content, by weight, exceeding 10 %",
49804,21704,0404908390,Other,
21804,8304,0404908900,Exceeding 27 %,
804,304,0405000000,Butter and other fats and oils derived from milk; dairy spreads,
3104,804,0405100000,Butter,
8804,3104,,"Of a fat content, by weight, not exceeding 85 %",
22404,8804,,Natural butter,
50304,22404,0405101100,In immediate packings of a net content not exceeding 1 kg,
78304,50304,0405101120,"Butter, at least six weeks old, of a fat content by weight of not less than 80% but less than 85%, manufactured directly from milk or cream without the use of stored materials, in a single, self-contained and uninterrupted process",
78404,50304,0405101190,Other,
50404,22404,0405101900,Other,
78604,50404,0405101920,"Butter, at least six weeks old, of a fat content by weight of not less than 80% but less than 85%, manufactured directly from milk or cream without the use of stored materials, in a single, self-contained and uninterrupted process",
78704,50404,0405101990,Other,
35004,8804,0405103000,Recombined butter,
50504,35004,0405103020,"Butter, at least six weeks old, of a fat content by weight of not less than 80% but less than 85%, manufactured directly from milk or cream without the use of stored materials, in a single, self-contained and uninterrupted process which may involve the cream passing through a stage where the butterfat is concentrated and/or fractionated (the processes referred to as ""Ammix"" and ""Spreadable"")",
50604,35004,0405103090,Other,
22704,8804,0405105000,Whey butter,
8904,3104,0405109000,Other,
3204,804,0405200000,Dairy spreads,
9004,3204,0405201000,"Of a fat content, by weight, of 39 % or more but less than 60 %",
22804,9004,0405201010,In immediate packings of a net capacity of 1 kg or less,
22904,9004,0405201080,Other,
9104,3204,0405203000,"Of a fat content, by weight, of 60 % or more but not exceeding 75 %",
23004,9104,0405203010,In immediate packings of a net capacity of 1 kg or less,
23104,9104,0405203080,Other,
9204,3204,0405209000,"Of a fat content, by weight, of more than 75 % but less than 80 %",
3304,804,0405900000,Other,
9304,3304,0405901000,"Of a fat content, by weight, of 99,3 % or more and of a water content, by weight, not exceeding 0,5 %",
9404,3304,0405909000,Other,
904,304,0406000000,Cheese and curd,
3404,904,0406100000,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",
9804,3404,,"Of a fat content, by weight, not exceeding 40 %",
23804,9804,0406103000,"Mozzarella, whether or not in a liquid",
50904,23804,0406103010,"Pizza cheese, frozen, cut into pieces each weighing not more than 1 gram, in containers with a net content of 5kg or more, of a water content, by weight, of 52% or more, and a fat content by weight in the dry matter of 38% or more",
51004,23804,0406103090,Other,
23904,9804,0406105000,Other,
51104,23904,0406105010,Skyr,
51204,23904,0406105030,"Pizza cheese, frozen, cut into pieces each weighing not more than 1 gram, in containers with a net content of 5kg or more, of a water content, by weight, of 52% or more, and a fat content by weight in the dry matter of 38% or more",
51304,23904,0406105090,Other,
13604,3404,0406108000,Other,
24004,13604,0406108010,"Pizza cheese, frozen, cut into pieces each weighing not more than 1 gram, in containers with a net content of 5kg or more, or a water content, by weight, of 52% or more, and a fat content by weight in the dry matter of 38% or more",
24204,13604,0406108080,Other,
3504,904,0406200000,"Grated or powdered cheese, of all kinds",
3704,904,0406300000,"Processed cheese, not grated or powdered",
10804,3704,0406301000,"In the manufacture of which no cheeses other than Emmentaler, Gruyère and Appenzell have been used and which may contain, as an addition, Glarus herb cheese (known as Schabziger); put up for retail sale, of a fat content by weight in the dry matter not exceeding 56 %",
25004,10804,0406301010,Processed Emmentaler,
25204,10804,0406301020,Processed Gruyère,
25404,10804,0406301090,Other,
10904,3704,,Other,
25604,10904,,"Of a fat content, by weight, not exceeding 36 % and of a fat content, by weight, in the dry matter",
52204,25604,0406303100,Not exceeding 48 %,
52404,25604,0406303900,Exceeding 48 %,
35104,10904,0406309000,"Of a fat content, by weight, exceeding 36 %",
5104,904,0406400000,Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,
11204,5104,0406401000,Roquefort,
11304,5104,0406405000,Gorgonzola,
11404,5104,0406409000,Other,
4004,904,0406900000,Other cheese,
11604,4004,0406900100,For processing,
12004,4004,,Other,
26404,12004,0406901300,Emmentaler,
26704,12004,0406901500,"Gruyère, Sbrinz",
27004,12004,0406901700,"Bergkäse, Appenzell",
27204,12004,0406901800,"Fromage fribourgeois, Vacherin Mont d'Or and Tête de Moine",
27504,12004,0406902100,Cheddar,
56304,27504,0406902110,"Made from unpasteurized milk, of a minimum fat content of 50% by weight, in the dry matter, matured for at least nine months, of a free-at-frontier value per 100 kg net weight of 334,20 Euro or more in the case of standard whole sizes (cheeses of the conventional flat cylindrical shape of a net weight of not less than 33 kg but not more than 44 kg; cubic block shape or parallelepiped shape, of a net weight of 10 kg or more), 354,83 Euro or more in the case of cheeses of a net weight of 500 g or more and 368,58 Euro or more in the case of cheeses of a net weight of less than 500 g",
56404,27504,0406902120,"Whole cheeses (of the conventional flat cylindrical shape of a net weight of not less than 33 kg but not more than 44 kg and cheeses in cubic blocks or in parallelepiped shape, of a net weight of 10 kg or more) of a minimum fat content of 50% by weight, in the dry matter, matured for at least three months",
56504,27504,0406902190,Other,
27604,12004,0406902300,Edam,
27804,12004,0406902500,Tilsit,
28004,12004,0406902900,Kashkaval,
28204,12004,0406903200,Feta,
28304,12004,0406903500,Kefalo-Tyri,
28404,12004,0406903700,Finlandia,
28504,12004,0406903900,Jarlsberg,
28604,12004,,Other,
58604,28604,0406905000,"Cheese of sheep's milk or buffalo milk in containers containing brine, or in sheepskin or goatskin bottles",
58804,28604,,Other,
85604,58804,,"Of a fat content, by weight, not exceeding 40 % and a water content, by weight, in the non-fatty matter",
99104,85604,,Not exceeding 47 %,
105904,99104,0406906100,"Grana Padano, Parmigiano Reggiano",
106004,99104,0406906300,"Fiore Sardo, Pecorino",
114704,106004,0406906310,Pecorino,
114804,106004,0406906390,Other,
106104,99104,0406906900,Other,
99304,85604,,Exceeding 47 % but not exceeding 72 %,
106304,99304,0406907300,Provolone,
106404,99304,0406907400,Maasdam,
106504,99304,0406907500,"Asiago, Caciocavallo, Montasio, Ragusano",
115104,106504,0406907510,Caciocavallo,
115204,106504,0406907590,Other,
106604,99304,0406907600,"Danbo, Fontal, Fontina, Fynbo, Havarti, Maribo, Samsø",
115304,106604,0406907610,Fontina,
115404,106604,0406907690,Other,
106804,99304,0406907800,Gouda,
107004,99304,0406907900,"Esrom, Italico, Kernhem, Saint-Nectaire, Saint-Paulin, Taleggio",
115704,107004,0406907910,"Esrom, Italico, Kernhem, Saint-Paulin",
115804,107004,0406907990,Other,
107104,99304,0406908100,"Cantal, Cheshire, Wensleydale, Lancashire, Double Gloucester, Blarney, Colby, Monterey",
115904,107104,0406908110,Cantal,
116004,107104,0406908190,Other,
107204,99304,0406908200,Camembert,
107404,99304,0406908400,Brie,
107504,99304,0406908500,"Kefalograviera, Kasseri",
107604,99304,,"Other cheese, of a water content, by weight, in the non-fatty matter",
116104,107604,0406908600,Exceeding 47 % but not exceeding 52 %,
119704,116104,0406908620,"""Tulum Peyniri"", made from sheep's milk or 'buffalo' milk, in packings of less than 10 kg",
119904,116104,0406908690,Other,
116404,107604,0406908900,Exceeding 52 % but not exceeding 62 %,
121204,116404,0406908910,"""Tulum Peyniri"", made from sheep's milk or 'buffalo' milk, in packings of less than 10 kg",
121504,116404,0406908990,Other,
117504,107604,0406909200,Exceeding 62 % but not exceeding 72 %,
122004,117504,0406909210,"""Tulum Peyniri"", made from sheep's milk or 'buffalo' milk, in packings of less than 10 kg",
122104,117504,0406909290,Other,
99504,85604,0406909300,Exceeding 72 %,
85804,58804,0406909900,Other,
1004,304,0407000000,"Birds' eggs, in shell, fresh, preserved or cooked",
4304,1004,,Fertilised eggs for incubation,
12304,4304,0407110000,Of fowls of the species Gallus domesticus,
12404,4304,0407190000,Other,
28904,12404,,"Of poultry, other than of fowls of the species Gallus domesticus",
58904,28904,0407191100,Of turkeys or geese,
59004,28904,0407191900,Other,
29004,12404,0407199000,Other,
4404,1004,,Other fresh eggs,
12504,4404,0407210000,Of fowls of the species Gallus domesticus,
12604,4404,0407290000,Other,
29104,12604,0407291000,"Of poultry, other than of fowls of the species Gallus domesticus",
29204,12604,0407299000,Other,
4504,1004,0407900000,Other,
12704,4504,0407901000,Of poultry,
12804,4504,0407909000,Other,
1104,304,0408000000,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",
4604,1104,,Egg yolks,
12904,4604,0408110000,Dried,
